[2009872520(TR: 10.93103, TS: 10.55861) -> {880680199=624, 2087390487=16}]
[74735376(TR: 10.93502, TS: 10.57237) -> {880680199=546, 2087390487=14}]
[496082473(TR: 11.00714, TS: 10.59086) -> {880680199=414, 2087390487=11}]
[1783854916(TR: 11.00860, TS: 10.67264) -> {880680199=312, 2087390487=8}]
[2093812478(TR: 11.02475, TS: 10.67915) -> {880680199=312, 2087390487=8}]
[1516717736(TR: 11.02657, TS: 10.60401) -> {880680199=312, 2087390487=8}]
[1268181787(TR: 11.03367, TS: 10.61568) -> {880680199=1116, 2087390487=29}]
[982408314(TR: 11.03992, TS: 10.59561) -> {880680199=312, 2087390487=8}]
[780151599(TR: 11.04199, TS: 10.59023) -> {880680199=468, 2087390487=12}]
[1311930961(TR: 11.04259, TS: 10.61438) -> {880680199=960, 2087390487=25}]
[838901439(TR: 11.04527, TS: 10.78463) -> {880680199=312, 2087390487=8}]
[38566654(TR: 11.04785, TS: 10.72830) -> {880680199=312, 2087390487=8}]
[2057664777(TR: 11.04830, TS: 10.75559) -> {880680199=312, 2087390487=8}]
[1431563297(TR: 11.04892, TS: 10.73068) -> {880680199=624, 2087390487=16}]
[149873704(TR: 11.04928, TS: 10.72931) -> {880680199=624, 2087390487=16}]
[1043162860(TR: 11.04938, TS: 10.61774) -> {880680199=468, 2087390487=12}]
[1871785233(TR: 11.05018, TS: 10.72524) -> {880680199=1374, 2087390487=36}]
[636089894(TR: 11.05077, TS: 10.69079) -> {880680199=960, 2087390487=25}]
[1524209943(TR: 11.05143, TS: 10.63222) -> {880680199=780, 2087390487=20}]
[253140646(TR: 11.05177, TS: 10.71455) -> {880680199=804, 2087390487=21}]
[1762247664(TR: 11.05220, TS: 10.72578) -> {880680199=390, 2087390487=10}]
[54214705(TR: 11.05228, TS: 10.60790) -> {880680199=624, 2087390487=16}]
[356278368(TR: 11.05266, TS: 10.58004) -> {880680199=1350, 2087390487=35}]
[778321871(TR: 11.05381, TS: 10.70378) -> {880680199=312, 2087390487=8}]
[164982704(TR: 11.05440, TS: 10.72573) -> {880680199=1482, 2087390487=38}]
[1354140787(TR: 11.05554, TS: 10.71895) -> {880680199=1530, 2087390487=40}]
[654297445(TR: 11.05581, TS: 10.65479) -> {880680199=624, 2087390487=16}]
[694812722(TR: 11.05605, TS: 10.69439) -> {880680199=780, 2087390487=20}]
[199250496(TR: 11.05676, TS: 10.70718) -> {880680199=546, 2087390487=14}]
[1867612763(TR: 11.05736, TS: 10.72119) -> {880680199=624, 2087390487=16}]
[935184949(TR: 11.05794, TS: 10.72381) -> {880680199=702, 2087390487=18}]
[1311713120(TR: 11.05910, TS: 10.71507) -> {880680199=1350, 2087390487=35}]
[1205079735(TR: 11.05923, TS: 10.46727) -> {880680199=726, 2087390487=19}]
[619974476(TR: 11.05954, TS: 10.59503) -> {880680199=960, 2087390487=25}]
[2101450117(TR: 11.05997, TS: 10.63432) -> {880680199=624, 2087390487=16}]
[1247983978(TR: 11.06010, TS: 10.49983) -> {880680199=492, 2087390487=13}]
[765769511(TR: 11.06040, TS: 10.71801) -> {880680199=1170, 2087390487=30}]
[690897840(TR: 11.06092, TS: 10.73812) -> {880680199=1248, 2087390487=32}]
[1479673517(TR: 11.06332, TS: 10.72116) -> {880680199=702, 2087390487=18}]
[121916712(TR: 11.06368, TS: 10.62633) -> {880680199=624, 2087390487=16}]
[265408360(TR: 11.06409, TS: 10.55837) -> {880680199=570, 2087390487=15}]
[1413037793(TR: 11.06435, TS: 10.73050) -> {880680199=1326, 2087390487=34}]
[485903781(TR: 11.06448, TS: 10.61558) -> {880680199=1218, 2087390487=32}]
[964587038(TR: 11.06472, TS: 10.75198) -> {880680199=960, 2087390487=25}]
[945118422(TR: 11.06526, TS: 10.74591) -> {880680199=702, 2087390487=18}]
[629580555(TR: 11.06558, TS: 10.66047) -> {880680199=1734, 2087390487=46}]
[196303227(TR: 11.06601, TS: 10.46484) -> {880680199=414, 2087390487=11}]
[1106761869(TR: 11.06630, TS: 10.68119) -> {880680199=546, 2087390487=14}]
[1406574473(TR: 11.06684, TS: 10.70649) -> {880680199=1506, 2087390487=39}]
[1129902083(TR: 11.06690, TS: 10.62807) -> {880680199=78, 2087390487=2}]
[1378943378(TR: 11.06697, TS: 10.60478) -> {880680199=858, 2087390487=22}]
[763201769(TR: 11.06726, TS: 10.60979) -> {880680199=702, 2087390487=18}]
[1253077016(TR: 11.06740, TS: 10.65557) -> {880680199=312, 2087390487=8}]
[1324112293(TR: 11.06826, TS: 10.60973) -> {880680199=468, 2087390487=12}]
[336329851(TR: 11.06849, TS: 10.66083) -> {880680199=624, 2087390487=16}]
[1441797331(TR: 11.06868, TS: 10.75844) -> {880680199=920, 2087390487=26, 1689826712=1, 289890178=1, 597022555=1}]
[478781125(TR: 11.06914, TS: 10.65627) -> {880680199=390, 2087390487=10}]
[814009728(TR: 11.07053, TS: 10.66347) -> {880680199=1062, 2087390487=28}]
[2074544079(TR: 11.07064, TS: 10.66552) -> {880680199=1374, 2087390487=36}]
[774161124(TR: 11.07097, TS: 10.74659) -> {880680199=1014, 2087390487=26}]
[2114653779(TR: 11.07104, TS: 10.68796) -> {880680199=1014, 2087390487=26}]
[1760896223(TR: 11.07119, TS: 10.66546) -> {880680199=468, 2087390487=12}]
[732942193(TR: 11.07155, TS: 10.69359) -> {880680199=936, 2087390487=24}]
[596904706(TR: 11.07174, TS: 10.65061) -> {880680199=1452, 2087390487=38}]
[97251509(TR: 11.07178, TS: 10.72731) -> {880680199=468, 2087390487=12}]
[1155133199(TR: 11.07192, TS: 10.64445) -> {880680199=312, 2087390487=8}]
[299398306(TR: 11.07237, TS: 10.74497) -> {880680199=1014, 2087390487=26}]
[303542656(TR: 11.07241, TS: 10.70181) -> {880680199=624, 2087390487=16}]
[1216591151(TR: 11.07278, TS: 10.67767) -> {880680199=1014, 2087390487=26}]
[1135184551(TR: 11.07292, TS: 10.68485) -> {880680199=312, 2087390487=8}]
[294030100(TR: 11.07292, TS: 10.77621) -> {880680199=960, 2087390487=25}]
[1043510037(TR: 11.07323, TS: 10.75224) -> {880680199=312, 2087390487=8}]
[1800225585(TR: 11.07337, TS: 10.72601) -> {880680199=312, 2087390487=8}]
[1681789005(TR: 11.07359, TS: 10.80961) -> {880680199=920, 2087390487=26, 1689826712=1, 289890178=1, 597022555=1}]
[1095100917(TR: 11.07386, TS: 10.68900) -> {880680199=1194, 2087390487=31}]
[1791246547(TR: 11.07389, TS: 10.66616) -> {880680199=780, 2087390487=20}]
[1796326001(TR: 11.07402, TS: 10.80642) -> {880680199=468, 2087390487=12}]
[2134444838(TR: 11.07477, TS: 10.69722) -> {880680199=624, 2087390487=16}]
[299720565(TR: 11.07584, TS: 10.75402) -> {880680199=312, 2087390487=8}]
[1507280709(TR: 11.07606, TS: 10.71938) -> {880680199=960, 2087390487=25}]
[1009783876(TR: 11.07648, TS: 10.56382) -> {880680199=702, 2087390487=18}]
[191318239(TR: 11.07666, TS: 10.57202) -> {880680199=156, 2087390487=4}]
[1891276849(TR: 11.07734, TS: 10.71451) -> {880680199=624, 2087390487=16}]
[322176012(TR: 11.07753, TS: 10.75332) -> {880680199=1014, 2087390487=26}]
[790278170(TR: 11.07774, TS: 10.73051) -> {880680199=312, 2087390487=8}]
[503981206(TR: 11.07778, TS: 10.74764) -> {880680199=624, 2087390487=16}]
[978668662(TR: 11.07799, TS: 10.73344) -> {880680199=702, 2087390487=18}]
[158481236(TR: 11.07803, TS: 10.65549) -> {880680199=960, 2087390487=25}]
[1930608640(TR: 11.07850, TS: 10.64494) -> {880680199=1350, 2087390487=35}]
[1014195296(TR: 11.07867, TS: 10.73290) -> {880680199=624, 2087390487=16}]
[752204132(TR: 11.07889, TS: 10.73090) -> {880680199=312, 2087390487=8}]
[887459633(TR: 11.07890, TS: 10.68819) -> {880680199=702, 2087390487=18}]
[1368542061(TR: 11.07971, TS: 10.78750) -> {880680199=468, 2087390487=12}]
[1994745179(TR: 11.07979, TS: 10.68727) -> {880680199=1350, 2087390487=35}]
[2004548730(TR: 11.07982, TS: 10.70304) -> {880680199=312, 2087390487=8}]
[1870555555(TR: 11.07997, TS: 10.67882) -> {880680199=312, 2087390487=8}]
[754228738(TR: 11.08049, TS: 10.71363) -> {880680199=1326, 2087390487=34}]
