[358474941(TR: 10.39802, TS: 9.86023) -> {880680199=7364, 2087390487=192, 1689826712=1, 289890178=1, 597022555=1}]
[1497534786(TR: 10.40696, TS: 9.96376) -> {880680199=1092, 2087390487=28}]
[1802884919(TR: 10.47476, TS: 9.98216) -> {880680199=546, 2087390487=14}]
[935381567(TR: 10.47693, TS: 10.03987) -> {880680199=546, 2087390487=14}]
[1296214134(TR: 10.47729, TS: 9.98826) -> {880680199=546, 2087390487=14}]
[4712477(TR: 10.48718, TS: 10.17348) -> {880680199=546, 2087390487=14}]
[1162763085(TR: 10.49495, TS: 10.09689) -> {880680199=546, 2087390487=14}]
[1953427689(TR: 10.49765, TS: 10.06633) -> {880680199=2730, 2087390487=70}]
[741865226(TR: 10.49787, TS: 10.16353) -> {880680199=1638, 2087390487=42}]
[328197521(TR: 10.50111, TS: 9.97947) -> {880680199=546, 2087390487=14}]
[606879902(TR: 10.50131, TS: 10.08352) -> {880680199=1092, 2087390487=28}]
[453825363(TR: 10.50145, TS: 10.10371) -> {880680199=546, 2087390487=14}]
[658904394(TR: 10.50146, TS: 9.94885) -> {880680199=546, 2087390487=14}]
[886712591(TR: 10.50188, TS: 10.09588) -> {880680199=1092, 2087390487=28}]
[1477833064(TR: 10.50224, TS: 10.11319) -> {880680199=1092, 2087390487=28}]
[511406660(TR: 10.50342, TS: 10.03089) -> {880680199=546, 2087390487=14}]
[151046276(TR: 10.50381, TS: 10.12921) -> {880680199=546, 2087390487=14}]
[1828129530(TR: 10.50425, TS: 10.06432) -> {880680199=546, 2087390487=14}]
[454961341(TR: 10.50547, TS: 10.05467) -> {880680199=1638, 2087390487=42}]
[1588760776(TR: 10.50579, TS: 9.97776) -> {880680199=2184, 2087390487=56}]
[1375287154(TR: 10.50595, TS: 10.07173) -> {880680199=546, 2087390487=14}]
[93144941(TR: 10.50604, TS: 10.03801) -> {880680199=546, 2087390487=14}]
[1866255521(TR: 10.50750, TS: 10.04926) -> {880680199=1092, 2087390487=28}]
[633480542(TR: 10.50769, TS: 10.04876) -> {880680199=1092, 2087390487=28}]
[1025037363(TR: 10.50778, TS: 10.04861) -> {880680199=6864, 2087390487=176}]
[1380010706(TR: 10.50847, TS: 10.03841) -> {880680199=2184, 2087390487=56}]
[1536282111(TR: 10.50949, TS: 10.02152) -> {880680199=1092, 2087390487=28}]
[1875770118(TR: 10.51045, TS: 9.95779) -> {880680199=2730, 2087390487=70}]
[344920960(TR: 10.51089, TS: 10.08635) -> {880680199=546, 2087390487=14}]
[1279319065(TR: 10.51278, TS: 10.04358) -> {880680199=546, 2087390487=14}]
[426446427(TR: 10.51280, TS: 10.15713) -> {880680199=546, 2087390487=14}]
[436130747(TR: 10.51287, TS: 10.16368) -> {880680199=546, 2087390487=14}]
[1971437591(TR: 10.51322, TS: 10.00715) -> {880680199=1638, 2087390487=42}]
[1072392874(TR: 10.51346, TS: 10.10826) -> {880680199=1638, 2087390487=42}]
[2125701850(TR: 10.51366, TS: 10.09508) -> {880680199=1092, 2087390487=28}]
[297780668(TR: 10.51384, TS: 10.07810) -> {880680199=2184, 2087390487=56}]
[1791311588(TR: 10.51410, TS: 10.06840) -> {880680199=2184, 2087390487=56}]
[236955436(TR: 10.51424, TS: 10.10507) -> {880680199=1638, 2087390487=42}]
[1834574151(TR: 10.51500, TS: 10.03954) -> {880680199=1092, 2087390487=28}]
[35969909(TR: 10.51529, TS: 10.12301) -> {880680199=3276, 2087390487=84}]
[1104537547(TR: 10.51572, TS: 9.97870) -> {880680199=546, 2087390487=14}]
[847253018(TR: 10.51580, TS: 10.06694) -> {880680199=1092, 2087390487=28}]
[343212628(TR: 10.51688, TS: 10.04577) -> {880680199=1092, 2087390487=28}]
[808361180(TR: 10.51709, TS: 10.07598) -> {880680199=546, 2087390487=14}]
[1579929261(TR: 10.51710, TS: 10.03842) -> {880680199=1092, 2087390487=28}]
[1827273644(TR: 10.51719, TS: 10.03312) -> {880680199=546, 2087390487=14}]
[1353851847(TR: 10.51723, TS: 10.06268) -> {880680199=546, 2087390487=14}]
[339643761(TR: 10.51764, TS: 10.04977) -> {880680199=1092, 2087390487=28}]
[350251005(TR: 10.51789, TS: 10.06026) -> {880680199=1092, 2087390487=28}]
[930597462(TR: 10.51839, TS: 10.03516) -> {880680199=5976, 2087390487=154}]
[1989831524(TR: 10.51847, TS: 10.12780) -> {880680199=1092, 2087390487=28}]
[380577219(TR: 10.51854, TS: 9.96923) -> {880680199=1092, 2087390487=28}]
[23553892(TR: 10.51857, TS: 10.05351) -> {880680199=546, 2087390487=14}]
[139143268(TR: 10.51858, TS: 10.02148) -> {880680199=1092, 2087390487=28}]
[766489410(TR: 10.51892, TS: 10.12529) -> {880680199=5430, 2087390487=140}]
[1119951369(TR: 10.51894, TS: 10.06735) -> {880680199=546, 2087390487=14}]
[2015824242(TR: 10.51970, TS: 10.16217) -> {880680199=1092, 2087390487=28}]
[704517658(TR: 10.51971, TS: 10.01730) -> {880680199=8628, 2087390487=222}]
[2031846852(TR: 10.51980, TS: 10.05484) -> {880680199=1092, 2087390487=28}]
[859888060(TR: 10.52000, TS: 10.06626) -> {880680199=1638, 2087390487=42}]
[1944861247(TR: 10.52043, TS: 10.12054) -> {880680199=1092, 2087390487=28}]
[712752286(TR: 10.52129, TS: 10.05583) -> {880680199=1638, 2087390487=42}]
[258685360(TR: 10.52156, TS: 10.12890) -> {880680199=5430, 2087390487=140}]
[978558168(TR: 10.52163, TS: 9.99654) -> {880680199=2184, 2087390487=56}]
[679240815(TR: 10.52184, TS: 10.04002) -> {880680199=5430, 2087390487=140}]
[1603580594(TR: 10.52184, TS: 10.05657) -> {880680199=546, 2087390487=14}]
[165979721(TR: 10.52202, TS: 10.06522) -> {880680199=3276, 2087390487=84}]
[804740849(TR: 10.52244, TS: 10.05125) -> {880680199=1092, 2087390487=28}]
[1684215932(TR: 10.52281, TS: 10.07546) -> {880680199=546, 2087390487=14}]
