[745669433(TR: 10.37996, TS: 9.92953) -> {880680199=7364, 2087390487=192, 1689826712=1, 289890178=1, 597022555=1}]
[437514118(TR: 10.38085, TS: 9.91036) -> {880680199=7364, 2087390487=192, 1689826712=1, 289890178=1, 597022555=1}]
[1446206104(TR: 10.39802, TS: 9.86023) -> {880680199=7364, 2087390487=192, 1689826712=1, 289890178=1, 597022555=1}]
[358474941(TR: 10.39802, TS: 9.86023) -> {880680199=7364, 2087390487=192, 1689826712=1, 289890178=1, 597022555=1}]
[1418897109(TR: 10.39976, TS: 9.86409) -> {880680199=12794, 2087390487=332, 1689826712=1, 289890178=1, 597022555=1}]
[1749359797(TR: 10.40278, TS: 9.96159) -> {880680199=1092, 2087390487=28}]
[1831838180(TR: 10.40365, TS: 9.87865) -> {880680199=8456, 2087390487=220, 1689826712=1, 289890178=1, 597022555=1}]
[553963843(TR: 10.40582, TS: 9.92990) -> {880680199=1092, 2087390487=28}]
[1625386936(TR: 10.40843, TS: 9.97147) -> {880680199=1092, 2087390487=28}]
[536962981(TR: 10.40853, TS: 9.88625) -> {880680199=8456, 2087390487=220, 1689826712=1, 289890178=1, 597022555=1}]
[808571584(TR: 10.41313, TS: 9.97081) -> {880680199=3768, 2087390487=97}]
[926450508(TR: 10.42155, TS: 9.89861) -> {880680199=10094, 2087390487=262, 1689826712=1, 289890178=1, 597022555=1}]
[1548727996(TR: 10.42572, TS: 9.95001) -> {880680199=8456, 2087390487=220, 1689826712=1, 289890178=1, 597022555=1}]
[2010701535(TR: 10.43180, TS: 10.05847) -> {880680199=1092, 2087390487=28}]
[1229038902(TR: 10.43374, TS: 9.99333) -> {880680199=1638, 2087390487=42}]
[982543793(TR: 10.43804, TS: 10.07598) -> {880680199=1092, 2087390487=28}]
[466343433(TR: 10.43884, TS: 9.91220) -> {880680199=546, 2087390487=14}]
[710204809(TR: 10.44025, TS: 10.07393) -> {880680199=1638, 2087390487=42}]
[1853404640(TR: 10.44369, TS: 9.99319) -> {880680199=7068, 2087390487=182}]
[1471983739(TR: 10.44373, TS: 9.98901) -> {880680199=1638, 2087390487=42}]
[310529819(TR: 10.44452, TS: 9.97513) -> {880680199=1638, 2087390487=42}]
[506884183(TR: 10.44551, TS: 9.92538) -> {880680199=546, 2087390487=14}]
[902431172(TR: 10.45302, TS: 10.07431) -> {880680199=2730, 2087390487=70}]
[130498670(TR: 10.47140, TS: 9.96009) -> {880680199=546, 2087390487=14}]
[129842458(TR: 10.47482, TS: 9.98775) -> {880680199=546, 2087390487=14}]
