[1754315138(TR: 9.51858, TS: 9.06162) -> {880680199=21869806, 2087390487=568378, 1689826712=2354, 289890178=2354, 597022555=2354}]
[470253306(TR: 9.51899, TS: 9.02128) -> {880680199=23038688, 2087390487=598764, 1689826712=2482, 289890178=2482, 597022555=2482}]
[885946426(TR: 9.53594, TS: 9.17670) -> {880680199=5095150, 2087390487=132418, 1689826712=548, 289890178=548, 597022555=548}]
[1884557596(TR: 9.53843, TS: 9.09604) -> {880680199=9120692, 2087390487=237040, 1689826712=982, 289890178=982, 597022555=982}]
[501606973(TR: 9.54211, TS: 9.14582) -> {880680199=11320784, 2087390487=294220, 1689826712=1219, 289890178=1219, 597022555=1219}]
[984786901(TR: 9.54254, TS: 9.18346) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[2113537809(TR: 9.54349, TS: 9.14755) -> {880680199=6561878, 2087390487=170538, 1689826712=706, 289890178=706, 597022555=706}]
[771106115(TR: 9.54377, TS: 8.99419) -> {880680199=34634764, 2087390487=900121, 1689826712=3725, 289890178=3725, 597022555=3725}]
[535856834(TR: 9.54461, TS: 9.01361) -> {880680199=8425726, 2087390487=218982, 1689826712=908, 289890178=908, 597022555=908}]
[819136230(TR: 9.54547, TS: 9.08249) -> {880680199=22603170, 2087390487=587438, 1689826712=2433, 289890178=2433, 597022555=2433}]
[498883938(TR: 9.54592, TS: 9.05043) -> {880680199=21869806, 2087390487=568378, 1689826712=2354, 289890178=2354, 597022555=2354}]
[24952747(TR: 9.54624, TS: 9.11983) -> {880680199=10257698, 2087390487=266592, 1689826712=1105, 289890178=1105, 597022555=1105}]
[438431696(TR: 9.54652, TS: 9.09604) -> {880680199=10991062, 2087390487=285652, 1689826712=1184, 289890178=1184, 597022555=1184}]
[854404676(TR: 9.54653, TS: 9.11109) -> {880680199=16951640, 2087390487=440560, 1689826712=1825, 289890178=1825, 597022555=1825}]
[1296376374(TR: 9.54687, TS: 9.05382) -> {880680199=16218276, 2087390487=421500, 1689826712=1746, 289890178=1746, 597022555=1746}]
[950111779(TR: 9.54691, TS: 9.08382) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[689982930(TR: 9.54728, TS: 9.13173) -> {880680199=17546418, 2087390487=456022, 1689826712=1890, 289890178=1890, 597022555=1890}]
[1021995081(TR: 9.54759, TS: 9.07449) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[1739521694(TR: 9.54810, TS: 9.12619) -> {880680199=25377366, 2087390487=659542, 1689826712=2733, 289890178=2733, 597022555=2733}]
[60695759(TR: 9.54821, TS: 9.09536) -> {880680199=9892454, 2087390487=257102, 1689826712=1066, 289890178=1066, 597022555=1066}]
[679192499(TR: 9.54824, TS: 9.16048) -> {880680199=19574204, 2087390487=508718, 1689826712=2107, 289890178=2107, 597022555=2107}]
[1203514069(TR: 9.54824, TS: 9.12979) -> {880680199=8425726, 2087390487=218982, 1689826712=908, 289890178=908, 597022555=908}]
[1467381426(TR: 9.54832, TS: 9.15377) -> {880680199=9854056, 2087390487=256100, 1689826712=1061, 289890178=1061, 597022555=1061}]
[633112783(TR: 9.54855, TS: 9.06346) -> {880680199=10991062, 2087390487=285652, 1689826712=1184, 289890178=1184, 597022555=1184}]
[1343219188(TR: 9.54883, TS: 9.12640) -> {880680199=12749114, 2087390487=331338, 1689826712=1372, 289890178=1372, 597022555=1372}]
[1984137122(TR: 9.54894, TS: 9.10808) -> {880680199=21908204, 2087390487=569380, 1689826712=2359, 289890178=2359, 597022555=2359}]
[316980286(TR: 9.54900, TS: 9.17028) -> {880680199=22903082, 2087390487=595240, 1689826712=2467, 289890178=2467, 597022555=2467}]
[1398776925(TR: 9.54900, TS: 9.11960) -> {880680199=9159090, 2087390487=238042, 1689826712=987, 289890178=987, 597022555=987}]
[2085673863(TR: 9.54902, TS: 9.09856) -> {880680199=18974748, 2087390487=493140, 1689826712=2043, 289890178=2043, 597022555=2043}]
