[188549681(TR: 10.84976, TS: 10.53102) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[849057369(TR: 10.85439, TS: 10.44472) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[663561194(TR: 10.85822, TS: 10.56333) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[37784363(TR: 10.86467, TS: 10.40453) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1640981968(TR: 10.87005, TS: 10.50254) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[260574958(TR: 10.87393, TS: 10.57143) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1104477830(TR: 10.87535, TS: 10.51915) -> {880680199=288, 1689826712=128, 1119091505=128, 1998680479=128}]
[1204501572(TR: 10.87803, TS: 10.44628) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1571827848(TR: 10.87825, TS: 10.45032) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[310422190(TR: 10.87827, TS: 10.52940) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1950762678(TR: 10.88056, TS: 10.45288) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1785818470(TR: 10.88334, TS: 10.57187) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[907621584(TR: 10.88630, TS: 10.43924) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[568012135(TR: 10.88845, TS: 10.41920) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[1735310364(TR: 10.88952, TS: 10.60818) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[102102986(TR: 10.88988, TS: 10.54186) -> {880680199=238, 1689826712=107, 1119091505=107, 1998680479=107}]
[2044066924(TR: 10.89075, TS: 10.52106) -> {880680199=214, 1689826712=95, 1119091505=95, 1998680479=95}]
[18699812(TR: 10.89140, TS: 10.48352) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[327255111(TR: 10.89147, TS: 10.56561) -> {880680199=446, 1689826712=199, 1119091505=183, 1998680479=182, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[981699162(TR: 10.89208, TS: 10.59058) -> {880680199=238, 1689826712=107, 1119091505=107, 1998680479=107}]
[1818441722(TR: 10.89227, TS: 10.50988) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[119857188(TR: 10.89240, TS: 10.45946) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[412675899(TR: 10.89248, TS: 10.53449) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1055881000(TR: 10.89285, TS: 10.53855) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1262898152(TR: 10.89416, TS: 10.56297) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1807984484(TR: 10.89650, TS: 10.50824) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[880634896(TR: 10.89683, TS: 10.45110) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1903041408(TR: 10.89695, TS: 10.52918) -> {880680199=578, 1689826712=257, 1119091505=241, 1998680479=240, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[135141198(TR: 10.89707, TS: 10.62184) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[2113960364(TR: 10.89782, TS: 10.59154) -> {880680199=334, 1689826712=151, 1119091505=151, 1998680479=151}]
[558008208(TR: 10.89827, TS: 10.53839) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[544287267(TR: 10.89869, TS: 10.56046) -> {880680199=358, 1689826712=157, 1119091505=157, 1998680479=157}]
[1480453380(TR: 10.89931, TS: 10.59117) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[630010550(TR: 10.89935, TS: 10.54847) -> {880680199=226, 1689826712=105, 1119091505=105, 1998680479=105}]
[2009872520(TR: 10.89939, TS: 10.54820) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[281431952(TR: 10.89940, TS: 10.54820) -> {880680199=562, 1689826712=255, 1119091505=239, 1998680479=238, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[969891737(TR: 10.89941, TS: 10.55943) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[237879401(TR: 10.89948, TS: 10.66705) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1115245464(TR: 10.89970, TS: 10.54657) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1625368200(TR: 10.89979, TS: 10.54783) -> {880680199=330, 1689826712=149, 1119091505=149, 1998680479=149}]
[596745882(TR: 10.89985, TS: 10.54495) -> {880680199=238, 1689826712=107, 1119091505=107, 1998680479=107}]
[1130310665(TR: 10.89990, TS: 10.55875) -> {880680199=358, 1689826712=159, 1119091505=159, 1998680479=159}]
[1265797745(TR: 10.90002, TS: 10.52177) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[575549681(TR: 10.90012, TS: 10.58181) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[218369900(TR: 10.90016, TS: 10.52030) -> {880680199=388, 1689826712=174, 1119091505=158, 1998680479=157, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[931218849(TR: 10.90031, TS: 10.57721) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
