[950111779(TR: 9.40597, TS: 8.84222) -> {880680199=46176356, 1689826712=20752944, 1119091505=20675952, 1998680479=20671140, 55964929=57744, 1720288815=43308, 1236336798=43308, 1313328519=38496, 1561859852=24060, 869939083=14436, 635680347=14436, 426551051=9624, 2138915098=4812, 338809723=4812, 1509037246=4812, 184418917=4812}]
[1445675258(TR: 9.40666, TS: 8.78631) -> {880680199=40622806, 1689826712=18256783, 1119091505=18188847, 1998680479=18184601, 55964929=50952, 1720288815=38214, 1236336798=38214, 1313328519=33968, 1561859852=21230, 869939083=12738, 635680347=12738, 426551051=8492, 2138915098=4246, 338809723=4246, 1509037246=4246, 184418917=4246}]
[500593878(TR: 9.40952, TS: 8.91249) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[1585673527(TR: 9.40954, TS: 8.78679) -> {880680199=62528314, 1689826712=28101491, 1119091505=27996787, 1998680479=27990243, 55964929=78528, 1720288815=58896, 1236336798=58896, 1313328519=52352, 1561859852=32720, 869939083=19632, 635680347=19632, 426551051=13088, 2138915098=6544, 338809723=6544, 1509037246=6544, 184418917=6544}]
[1785145426(TR: 9.40991, TS: 8.84938) -> {880680199=129918634, 1689826712=58387889, 1119091505=58170001, 1998680479=58156383, 55964929=163416, 1720288815=122562, 1236336798=122562, 1313328519=108944, 1561859852=68090, 869939083=40854, 635680347=40854, 426551051=27236, 2138915098=13618, 338809723=13618, 1509037246=13618, 184418917=13618}]
[474873051(TR: 9.41211, TS: 8.88621) -> {880680199=62528314, 1689826712=28101491, 1119091505=27996787, 1998680479=27990243, 55964929=78528, 1720288815=58896, 1236336798=58896, 1313328519=52352, 1561859852=32720, 869939083=19632, 635680347=19632, 426551051=13088, 2138915098=6544, 338809723=6544, 1509037246=6544, 184418917=6544}]
[1724352884(TR: 9.41336, TS: 8.93651) -> {880680199=122019522, 1689826712=54839063, 1119091505=54635623, 1998680479=54622908, 55964929=152580, 1720288815=114435, 1236336798=114435, 1313328519=101720, 1561859852=63575, 869939083=38145, 635680347=38145, 426551051=25430, 2138915098=12715, 338809723=12715, 1509037246=12715, 184418917=12715}]
[1217999294(TR: 9.41470, TS: 8.94095) -> {880680199=27459058, 1689826712=12340869, 1119091505=12295045, 1998680479=12292181, 55964929=34368, 1720288815=25776, 1236336798=25776, 1313328519=22912, 1561859852=14320, 869939083=8592, 635680347=8592, 426551051=5728, 2138915098=2864, 338809723=2864, 1509037246=2864, 184418917=2864}]
[225894231(TR: 9.41554, TS: 8.84850) -> {880680199=78329344, 1689826712=35203662, 1119091505=35073214, 1998680479=35065061, 55964929=97836, 1720288815=73377, 1236336798=73377, 1313328519=65224, 1561859852=40765, 869939083=24459, 635680347=24459, 426551051=16306, 2138915098=8153, 338809723=8153, 1509037246=8153, 184418917=8153}]
[1585468179(TR: 9.41555, TS: 8.86677) -> {880680199=54271080, 1689826712=24391428, 1119091505=24301220, 1998680479=24295582, 55964929=67656, 1720288815=50742, 1236336798=50742, 1313328519=45104, 1561859852=28190, 869939083=16914, 635680347=16914, 426551051=11276, 2138915098=5638, 338809723=5638, 1509037246=5638, 184418917=5638}]
[72809886(TR: 9.41609, TS: 8.86704) -> {880680199=48613528, 1689826712=21849396, 1119091505=21769140, 1998680479=21764124, 55964929=60192, 1720288815=45144, 1236336798=45144, 1313328519=40128, 1561859852=25080, 869939083=15048, 635680347=15048, 426551051=10032, 2138915098=5016, 338809723=5016, 1509037246=5016, 184418917=5016}]
